

 number of simulation is --> 0



 number of simulation is --> 0



 number of simulation is --> 0

 S E I R
93 0.0477 0.0181 0.0276 0.9069
94 0.0477 0.0169 0.026 0.9097
95 0.0476 0.0158 0.0245 0.9124
96 0.0474 0.0149 0.0231 0.9149
97 0.0472 0.0141 0.0217 0.9173
98 0.047 0.0133 0.0205 0.9195
99 0.0469 0.0125 0.0193 0.9216
100 0.0469 0.0117 0.0181 0.9236
101 0.0469 0.0109 0.0171 0.9254


 number of simulation is --> 3

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9991 0.0009 0.0003 0.0
2 0.9982 0.0017 0.0004 0.0
3 0.9974 0.0024 0.0005 0.0
4 0.9966 0.003 0.0007 0.0
5 0.9956 0.0038 0.0009 0.0
6 0.9943 0.0048 0.0011 0.0001
7 0.9926 0.0061 0.0014 0.0002
8 0.9904 0.0078 0.0018 0.0003
9 0.9883 0.0092 0.0023 0.0005
10 0.9833 0.0132 0.003 0.0008
11 0.9765 0.0186 0.004 0.0012
12 0.9655 0.0275 0.0055 0.0018
13 0.9526 0.0376 0.0075 0.0026
14 0.9387 0.0479 0.01 0.0037
15 0.923 0.0591 0.0131 0.0051
16 0.9076 0.0692 0.0166 0.0069
17 0.8869 0.0835 0.0207 0.0092
18 0.8624 0.1003 0.0256 0.012
19 0.8318 0.1216 0.0315 0.0154
20 0.7962 0.146 0.0385 0.0196
21 0.7552 0.1737 0.0467 0.0247
22 0.709 0.2042 0.0562 0.0309
23 0.6629 0.2325 0.0666 0.0383
24 0.6151 0.2603 0.078 0.0469
25 0.5682 0.2853 0.09 0.0568
26 0.5253 0.3048 0.1021 0.0681
27 0.4833 0.3221 0.1142 0.0807
28 0.4469 0.3329 0.1259 0.0946
29 0.4085 0.3448 0.1372 0.1098
30 0.3726 0.3536 0.1479 0.1262
31 0.3391 0.3595 0.158 0.1437
32 0.3065 0.3641 0.1674 0.1623
33 0.2774 0.3652 0.1759 0.1818
34 0.2513 0.3634 0.1835 0.2021
35 0.2273 0.3598 0.19 0.2232
36 0.2067 0.3533 0.1954 0.2449
37 0.1863 0.3471 0.1998 0.2671
38 0.1739 0.3339 0.2029 0.2896
39 0.1582 0.3247 0.2051 0.3123
40 0.1466 0.3123 0.2062 0.3352
41 0.1375 0.2985 0.2062 0.3581
42 0.1297 0.2845 0.2052 0.3809
43 0.1213 0.272 0.2035 0.4035
44 0.1138 0.2596 0.2011 0.4258
45 0.1084 0.2461 0.198 0.4478
46 0.1037 0.2329 0.1944 0.4693
47 0.0977 0.2219 0.1903 0.4904
48 0.0935 0.21 0.1858 0.511
49 0.0894 0.1989 0.1809 0.5311
50 0.0857 0.1882 0.1758 0.5506
51 0.0812 0.179 0.1706 0.5695
52 0.0775 0.1697 0.1653 0.5878
53 0.0744 0.1605 0.1599 0.6055
54 0.072 0.1513 0.1544 0.6226
55 0.0699 0.1425 0.1488 0.6391
56 0.0671 0.135 0.1432 0.655
57 0.0651 0.1273 0.1377 0.6702
58 0.0639 0.1194 0.1322 0.6848
59 0.0626 0.1121 0.1268 0.6988
60 0.0611 0.1055 0.1215 0.7122
61 0.0602 0.0988 0.1162 0.7251
62 0.0587 0.0932 0.111 0.7374
63 0.0577 0.0875 0.106 0.7491
64 0.0571 0.0819 0.101 0.7603
65 0.0566 0.0766 0.0962 0.7709
66 0.0555 0.0722 0.0916 0.781
67 0.055 0.0676 0.0871 0.7906
68 0.0541 0.0637 0.0828 0.7997
69 0.0535 0.0598 0.0786 0.8084
70 0.053 0.056 0.0747 0.8166
71 0.0524 0.0526 0.0709 0.8244
72 0.0524 0.0489 0.0672 0.8318
73 0.0521 0.0457 0.0637 0.8388
74 0.0518 0.0428 0.0603 0.8454
75 0.0512 0.0403 0.0571 0.8517
76 0.0508 0.0378 0.054 0.8577
77 0.0507 0.0352 0.0511 0.8633
78 0.0506 0.0328 0.0483 0.8686
79 0.0504 0.0307 0.0456 0.8736
80 0.0498 0.0291 0.0431 0.8783
81 0.0496 0.0273 0.0406 0.8828
82 0.0496 0.0254 0.0383 0.887
83 0.0495 0.0237 0.0361 0.891
84 0.0493 0.0222 0.0341 0.8947
85 0.049 0.0209 0.0322 0.8982
86 0.0489 0.0195 0.0304 0.9015
87 0.0489 0.0182 0.0286 0.9046
88 0.0487 0.0171 0.027 0.9075
89 0.0486 0.016 0.0254 0.9103
90 0.0486 0.0149 0.0239 0.9129
91 0.0485 0.014 0.0225 0.9153
92 0.0484 0.0131 0.0212 0.9176
93 0.0482 0.0124 0.0199 0.9198
94 0.048 0.0117 0.0188 0.9218
95 0.0478 0.0111 0.0177 0.9237
96 0.0477 0.0104 0.0167 0.9255
97 0.0476 0.0098 0.0157 0.9272
98 0.0476 0.0091 0.0148 0.9288
99 0.0475 0.0086 0.0139 0.9303
100 0.0474 0.0081 0.0131 0.9317
101 0.0474 0.0076 0.0123 0.933


 number of simulation is --> 4

 S E I R
0 1.0 0.0 0.0003 0.0
1 1.0 0.0 0.0003 0.0
2 1.0 0.0 0.0003 0.0
3 1.0 0.0 0.0003 0.0
4 1.0 0.0 0.0003 0.0
5 1.0 0.0 0.0003 0.0
6 1.0 0.0 0.0003 0.0
7 1.0 0.0 0.0003 0.0
8 1.0 0.0 0.0003 0.0
9 1.0 0.0 0.0003 0.0
10 1.0 0.0 0.0003 0.0
11 1.0 0.0 0.0003 0.0
12 1.0 0.0 0.0003 0.0
13 1.0 0.0 0.0003 0.0
14 1.0 0.0 0.0003 0.0
15 1.0 0.0 0.0003 0.0
16 1.0 0.0 0.0003 0.0
17 1.0 0.0 0.0003 0.0
18 1.0 0.0 0.0003 0.0
19 1.0 0.0 0.0003 0.0
20 1.0 0.0 0.0003 0.0
21 1.0 0.0 0.0003 0.0
22 1.0 0.0 0.0003 0.0
23 1.0 0.0 0.0003 0.0
24 1.0 0.0 0.0003 0.0
25 1.0 0.0 0.0003 0.0
26 1.0 0.0 0.0003 0.0
27 1.0 0.0 0.0003 0.0
28 1.0 0.0 0.0003 0.0
29 1.0 0.0 0.0003 0.0
30 1.0 0.0 0.0003 0.0
31 1.0 0.0 0.0003 0.0
32 1.0 0.0 0.0003 0.0
33 1.0 0.0 0.0003 0.0
34 1.0 0.0 0.0003 0.0
35 1.0 0.0 0.0003 0.0
36 1.0 0.0 0.0003 0.0
37 1.0 0.0 0.0003 0.0
38 1.0 0.0 0.0003 0.0
39 1.0 0.0 0.0003 0.0
40 1.0 0.0 0.0003 0.0
41 1.0 0.0 0.0003 0.0
42 1.0 0.0 0.0003 0.0
43 1.0 0.0 0.0003 0.0
44 1.0 0.0 0.0003 0.0
45 1.0 0.0 0.0003 0.0
46 1.0 0.0 0.0003 0.0
47 1.0 0.0 0.0003 0.0
48 1.0 0.0 0.0003 0.0
49 1.0 0.0 0.0003 0.0
50 1.0 0.0 0.0003 0.0
51 1.0 0.0 0.0003 0.0
52 1.0 0.0 0.0003 0.0
53 1.0 0.0 0.0003 0.0
54 1.0 0.0 0.0003 0.0
55 1.0 0.0 0.0003 0.0
56 1.0 0.0 0.0003 0.0
57 1.0 0.0 0.0003 0.0
58 1.0 0.0 0.0003 0.0
59 1.0 0.0 0.0003 0.0
60 1.0 0.0 0.0003 0.0
61 1.0 0.0 0.0003 0.0
62 1.0 0.0 0.0003 0.0
63 1.0 0.0 0.0003 0.0
64 1.0 0.0 0.0003 0.0
65 1.0 0.0 0.0003 0.0
66 1.0 0.0 0.0003 0.0
67 1.0 0.0 0.0003 0.0
68 1.0 0.0 0.0003 0.0
69 1.0 0.0 0.0003 0.0
70 1.0 0.0 0.0003 0.0
71 1.0 0.0 0.0003 0.0
72 1.0 0.0 0.0003 0.0
73 1.0 0.0 0.0003 0.0
74 1.0 0.0 0.0003 0.0
75 1.0 0.0 0.0003 0.0
76 1.0 0.0 0.0003 0.0
77 1.0 0.0 0.0003 0.0
78 1.0 0.0 0.0003 0.0
79 1.0 0.0 0.0003 0.0
80 1.0 0.0 0.0003 0.0
81 1.0 0.0 0.0003 0.0
82 1.0 0.0 0.0003 0.0
83 1.0 0.0 0.0003 0.0
84 1.0 0.0 0.0003 0.0
85 1.0 0.0 0.0003 0.0
86 1.0 0.0 0.0003 0.0
87 1.0 0.0 0.0003 0.0
88 1.0 0.0 0.0003 0.0
89 1.0 0.0 0.0003 0.0
90 1.0 0.0 0.0003 0.0
91 1.0 0.0 0.0003 0.0
92 1.0 0.0 0.0003 0.0
93 1.0 0.0 0.0003 0.0
94 1.0 0.0 0.0003 0.0
95 1.0 0.0 0.0003 0.0
96 1.0 0.0 0.0003 0.0
97 1.0 0.0 0.0003 0.0
98 1.0 0.0 0.0003 0.0
99 1.0 0.0 0.0003 0.0
100 1.0 0.0 0.0003 0.0
101 1.0 0.0 0.0003 0.0


 number of simulation is --> 5

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9998 0.0002 0.0003 0.0
2 0.9996 0.0004 0.0003 0.0
3 0.9994 0.0006 0.0003 0.0
4 0.9992 0.0008 0.0003 0.0
5 0.999 0.001 0.0003 0.0
6 0.9988 0.0012 0.0003 0.0
7 0.9986 0.0013 0.0004 0.0
8 0.9984 0.0014 0.0005 0.0
9 0.9976 0.0021 0.0006 0.0
10 0.9962 0.0033 0.0008 0.0
11 0.9947 0.0045 0.001 0.0001
12 0.9932 0.0056 0.0013 0.0002
13 0.9898 0.0084 0.0018 0.0003
14 0.9858 0.0116 0.0024 0.0005
15 0.9814 0.0149 0.0032 0.0008
16 0.9758 0.0191 0.0042 0.0012
17 0.9685 0.0246 0.0054 0.0018
18 0.9612 0.0297 0.0069 0.0025
19 0.9514 0.0367 0.0088 0.0034
20 0.9375 0.047 0.0112 0.0046
21 0.9197 0.0602 0.0143 0.0061
22 0.895 0.0789 0.0183 0.0081
23 0.8639 0.1022 0.0235 0.0107
24 0.8317 0.1248 0.0298 0.014
25 0.7975 0.1477 0.037 0.0181
26 0.7631 0.1691 0.045 0.0231
27 0.7238 0.1936 0.0539 0.029
28 0.6851 0.2158 0.0634 0.036
29 0.6367 0.2454 0.074 0.0442
30 0.5919 0.2695 0.0853 0.0536
31 0.5425 0.2962 0.0972 0.0644
32 0.497 0.3173 0.1095 0.0765
33 0.4542 0.3344 0.1217 0.09
34 0.4104 0.3512 0.1339 0.1048
35 0.3736 0.3603 0.1455 0.1209
36 0.3406 0.3653 0.1562 0.1382
37 0.3096 0.368 0.1661 0.1566
38 0.2841 0.3654 0.1748 0.176
39 0.258 0.3636 0.1825 0.1962
40 0.2348 0.3592 0.1891 0.2172
41 0.2153 0.3517 0.1945 0.2388
42 0.1968 0.3438 0.1989 0.2608
43 0.1819 0.3331 0.2021 0.2832
44 0.1681 0.3222 0.2042 0.3058
45 0.1564 0.3101 0.2052 0.3286
46 0.1419 0.3015 0.2055 0.3514
47 0.1318 0.2894 0.205 0.3741
48 0.1226 0.2773 0.2037 0.3967
49 0.1155 0.2641 0.2016 0.4191
50 0.1097 0.2507 0.1988 0.4411
51 0.1053 0.2369 0.1953 0.4628
52 0.0999 0.225 0.1914 0.484
53 0.094 0.2145 0.1871 0.5047
54 0.0908 0.2022 0.1824 0.5249
55 0.0866 0.1917 0.1774 0.5446
56 0.0823 0.182 0.1723 0.5637
57 0.0789 0.1722 0.167 0.5822
58 0.0762 0.1625 0.1615 0.6001
59 0.0732 0.1537 0.156 0.6174
60 0.0712 0.1446 0.1504 0.6341
61 0.0689 0.1365 0.1448 0.6501
62 0.0672 0.1284 0.1392 0.6655
63 0.0656 0.1208 0.1336 0.6803
64 0.0644 0.1133 0.1281 0.6945
65 0.0634 0.1062 0.1226 0.7081
66 0.0616 0.1003 0.1173 0.7211
67 0.0609 0.0938 0.1121 0.7335
68 0.06 0.088 0.107 0.7453
69 0.0586 0.0831 0.102 0.7566
70 0.0582 0.0776 0.0972 0.7673
71 0.0574 0.0728 0.0926 0.7775
72 0.0564 0.0686 0.0881 0.7872
73 0.0558 0.0643 0.0837 0.7965
74 0.0551 0.0604 0.0795 0.8053
75 0.0546 0.0566 0.0755 0.8136
76 0.0541 0.0531 0.0716 0.8215
77 0.0537 0.0497 0.0679 0.829
78 0.0533 0.0466 0.0643 0.8361
79 0.053 0.0436 0.0609 0.8428
80 0.0528 0.0407 0.0576 0.8492
81 0.0527 0.0379 0.0545 0.8552
82 0.0524 0.0355 0.0515 0.8609
83 0.052 0.0334 0.0486 0.8663
84 0.0519 0.0312 0.0459 0.8713
85 0.0517 0.0292 0.0433 0.8761
86 0.0513 0.0275 0.0409 0.8806
87 0.0512 0.0257 0.0386 0.8848
88 0.0511 0.024 0.0364 0.8888
89 0.051 0.0224 0.0343 0.8926
90 0.0509 0.0209 0.0324 0.8961
91 0.0507 0.0196 0.0306 0.8994
92 0.0505 0.0184 0.0288 0.9026
93 0.0505 0.0171 0.0271 0.9056
94 0.0503 0.0161 0.0255 0.9084
95 0.0502 0.0151 0.024 0.911
96 0.0502 0.0141 0.0225 0.9135
97 0.0502 0.0131 0.0212 0.9158
98 0.0502 0.0122 0.0199 0.918
99 0.0498 0.0117 0.0188 0.92
100 0.0498 0.0109 0.0177 0.9219
101 0.0498 0.0102 0.0166 0.9237


 number of simulation is --> 6

 S E I R
0 1.0 0.0 0.0003 0.0
1 1.0 0.0 0.0003 0.0
2 1.0 0.0 0.0003 0.0
3 1.0 0.0 0.0003 0.0
4 1.0 0.0 0.0003 0.0
5 1.0 0.0 0.0003 0.0
6 1.0 0.0 0.0003 0.0
7 1.0 0.0 0.0003 0.0
8 1.0 0.0 0.0003 0.0
9 1.0 0.0 0.0003 0.0
10 1.0 0.0 0.0003 0.0
11 1.0 0.0 0.0003 0.0
12 1.0 0.0 0.0003 0.0
13 1.0 0.0 0.0003 0.0
14 1.0 0.0 0.0003 0.0
15 1.0 0.0 0.0003 0.0
16 1.0 0.0 0.0003 0.0
17 1.0 0.0 0.0003 0.0
18 1.0 0.0 0.0003 0.0
19 1.0 0.0 0.0003 0.0
20 1.0 0.0 0.0003 0.0
21 1.0 0.0 0.0003 0.0
22 1.0 0.0 0.0003 0.0
23 1.0 0.0 0.0003 0.0
24 1.0 0.0 0.0003 0.0
25 1.0 0.0 0.0003 0.0
26 1.0 0.0 0.0003 0.0
27 1.0 0.0 0.0003 0.0
28 1.0 0.0 0.0003 0.0
29 1.0 0.0 0.0003 0.0
30 1.0 0.0 0.0003 0.0
31 1.0 0.0 0.0003 0.0
32 1.0 0.0 0.0003 0.0
33 1.0 0.0 0.0003 0.0
34 1.0 0.0 0.0003 0.0
35 1.0 0.0 0.0003 0.0
36 1.0 0.0 0.0003 0.0
37 1.0 0.0 0.0003 0.0
38 1.0 0.0 0.0003 0.0
39 1.0 0.0 0.0003 0.0
40 1.0 0.0 0.0003 0.0
41 1.0 0.0 0.0003 0.0
